recommendation_id,project_id,recommended_by,recommendation_date,recommended_work_type,recommended_amount,reason,approval_status,approval_date,remarks
REC-00593,MPLADS-SYN-0593,MP-933,2026-03-28,Drainage,970000,Community facility,Approved,2026-05-23,Synthetic demonstration record
REC-00594,MPLADS-SYN-0594,MP-205,2026-01-22,Sports Facility,1150000,Road connectivity,Approved,2026-03-14,Synthetic demonstration record
REC-00595,MPLADS-SYN-0595,MP-722,2025-12-06,Community Hall,1300000,Road connectivity,Approved,2026-01-08,Synthetic demonstration record
REC-00596,MPLADS-SYN-0596,MP-391,2026-05-07,Drinking Water,1910000,Local infrastructure need,Approved,2026-06-04,Synthetic demonstration record
REC-00597,MPLADS-SYN-0597,MP-470,2026-02-02,Drainage,1340000,Water and sanitation,Approved,2026-03-26,Synthetic demonstration record
REC-00598,MPLADS-SYN-0598,MP-391,2026-01-21,Drinking Water,1130000,Public utility improvement,Rejected,2026-02-25,Synthetic demonstration record
REC-00599,MPLADS-SYN-0599,MP-105,2026-07-07,Solar Lighting,760000,Local infrastructure need,Approved,2026-09-05,Synthetic demonstration record
REC-00600,MPLADS-SYN-0600,MP-210,2026-05-06,Community Hall,2210000,Water and sanitation,Under Review,2026-05-23,Synthetic demonstration record
REC-00601,MPLADS-SYN-0601,MP-152,2026-01-30,Library,1380000,Community facility,Under Review,2026-03-30,Synthetic demonstration record
REC-00602,MPLADS-SYN-0602,MP-546,2025-12-24,Library,350000,Community facility,Rejected,2026-02-02,Synthetic demonstration record
REC-00603,MPLADS-SYN-0603,MP-739,2026-01-28,Sports Facility,810000,Road connectivity,Approved,2026-03-28,Synthetic demonstration record
REC-00604,MPLADS-SYN-0604,MP-250,2025-11-09,School Building,2660000,Water and sanitation,Approved,2026-01-01,Synthetic demonstration record
REC-00605,MPLADS-SYN-0605,MP-353,2026-02-16,Drainage,1300000,Water and sanitation,Rejected,2026-04-14,Synthetic demonstration record
REC-00606,MPLADS-SYN-0606,MP-721,2026-01-31,Drainage,470000,Local infrastructure need,Rejected,2026-03-06,Synthetic demonstration record
REC-00607,MPLADS-SYN-0607,MP-810,2026-05-11,Community Hall,3100000,Community facility,Approved,2026-06-15,Synthetic demonstration record
REC-00608,MPLADS-SYN-0608,MP-914,2025-11-08,Sports Facility,1270000,Public utility improvement,Approved,2025-12-28,Synthetic demonstration record
REC-00609,MPLADS-SYN-0609,MP-126,2025-12-15,Solar Lighting,1210000,Local infrastructure need,Approved,2026-01-11,Synthetic demonstration record
REC-00610,MPLADS-SYN-0610,MP-629,2026-02-05,School Building,1190000,Road connectivity,Approved,2026-03-05,Synthetic demonstration record
REC-00611,MPLADS-SYN-0611,MP-467,2026-02-19,Drinking Water,670000,Water and sanitation,Approved,2026-03-21,Synthetic demonstration record
REC-00612,MPLADS-SYN-0612,MP-287,2025-12-08,Drinking Water,660000,Community facility,Under Review,2026-02-06,Synthetic demonstration record
REC-00613,MPLADS-SYN-0613,MP-844,2025-12-20,Sports Facility,1860000,Public utility improvement,Approved,2026-01-20,Synthetic demonstration record
REC-00614,MPLADS-SYN-0614,MP-278,2025-12-06,School Building,3870000,Water and sanitation,Rejected,2025-12-26,Synthetic demonstration record
REC-00615,MPLADS-SYN-0615,MP-348,2025-09-27,Community Hall,1760000,Public utility improvement,Approved,2025-10-20,Synthetic demonstration record
REC-00616,MPLADS-SYN-0616,MP-352,2025-11-27,Library,1720000,Road connectivity,Approved,2025-12-27,Synthetic demonstration record
REC-00617,MPLADS-SYN-0617,MP-534,2026-04-14,Drainage,1960000,Water and sanitation,Approved,2026-05-27,Synthetic demonstration record
REC-00618,MPLADS-SYN-0618,MP-494,2026-05-26,Street Lighting,1340000,Local infrastructure need,Under Review,2026-06-18,Synthetic demonstration record
REC-00619,MPLADS-SYN-0619,MP-849,2026-03-29,Sports Facility,1400000,Public utility improvement,Rejected,2026-05-23,Synthetic demonstration record
REC-00620,MPLADS-SYN-0620,MP-536,2026-04-08,Community Hall,3470000,Water and sanitation,Rejected,2026-05-12,Synthetic demonstration record
REC-00621,MPLADS-SYN-0621,MP-652,2026-03-03,Solar Lighting,940000,Water and sanitation,Rejected,2026-03-26,Synthetic demonstration record
REC-00622,MPLADS-SYN-0622,MP-140,2026-01-11,Health Facility,1020000,Water and sanitation,Under Review,2026-02-06,Synthetic demonstration record
REC-00623,MPLADS-SYN-0623,MP-963,2025-11-11,School Building,1910000,Local infrastructure need,Approved,2025-12-11,Synthetic demonstration record
REC-00624,MPLADS-SYN-0624,MP-815,2025-12-27,Sports Facility,1200000,Local infrastructure need,Under Review,2026-01-15,Synthetic demonstration record
REC-00625,MPLADS-SYN-0625,MP-804,2026-04-30,School Building,4510000,Community facility,Rejected,2026-05-24,Synthetic demonstration record
REC-00626,MPLADS-SYN-0626,MP-917,2025-11-10,Sports Facility,2030000,Water and sanitation,Approved,2025-12-17,Synthetic demonstration record
REC-00627,MPLADS-SYN-0627,MP-287,2026-01-02,Drainage,1170000,Water and sanitation,Under Review,2026-02-04,Synthetic demonstration record
REC-00628,MPLADS-SYN-0628,MP-547,2026-05-31,Health Facility,3390000,Community facility,Approved,2026-07-22,Synthetic demonstration record
REC-00629,MPLADS-SYN-0629,MP-597,2026-01-04,Library,310000,Water and sanitation,Approved,2026-02-25,Synthetic demonstration record
REC-00630,MPLADS-SYN-0630,MP-426,2026-05-16,Library,540000,Public utility improvement,Approved,2026-07-05,Synthetic demonstration record
REC-00631,MPLADS-SYN-0631,MP-205,2026-03-15,Solar Lighting,1300000,Community facility,Approved,2026-05-01,Synthetic demonstration record
REC-00632,MPLADS-SYN-0632,MP-295,2026-01-20,Health Facility,2490000,Water and sanitation,Approved,2026-03-18,Synthetic demonstration record
REC-00633,MPLADS-SYN-0633,MP-270,2025-09-23,Solar Lighting,1400000,Water and sanitation,Rejected,2025-11-10,Synthetic demonstration record
REC-00634,MPLADS-SYN-0634,MP-589,2025-12-12,Solar Lighting,790000,Local infrastructure need,Under Review,2026-01-07,Synthetic demonstration record
REC-00635,MPLADS-SYN-0635,MP-997,2026-02-24,Solar Lighting,1180000,Public utility improvement,Under Review,2026-04-09,Synthetic demonstration record
REC-00636,MPLADS-SYN-0636,MP-336,2026-04-29,Road,2010000,Local infrastructure need,Under Review,2026-06-20,Synthetic demonstration record
REC-00637,MPLADS-SYN-0637,MP-172,2026-02-22,Community Hall,1410000,Local infrastructure need,Rejected,2026-04-21,Synthetic demonstration record
REC-00638,MPLADS-SYN-0638,MP-707,2026-02-17,Street Lighting,840000,Public utility improvement,Approved,2026-04-14,Synthetic demonstration record
REC-00639,MPLADS-SYN-0639,MP-426,2026-05-21,Community Hall,2030000,Public utility improvement,Under Review,2026-07-20,Synthetic demonstration record
REC-00640,MPLADS-SYN-0640,MP-837,2025-11-27,Street Lighting,730000,Local infrastructure need,Under Review,2025-12-12,Synthetic demonstration record
REC-00641,MPLADS-SYN-0641,MP-975,2025-11-18,Drainage,920000,Local infrastructure need,Rejected,2026-01-02,Synthetic demonstration record
REC-00642,MPLADS-SYN-0642,MP-106,2026-03-29,School Building,2700000,Community facility,Under Review,2026-05-19,Synthetic demonstration record
REC-00643,MPLADS-SYN-0643,MP-774,2026-03-01,Drainage,1160000,Community facility,Rejected,2026-03-28,Synthetic demonstration record
REC-00644,MPLADS-SYN-0644,MP-567,2026-05-07,School Building,4800000,Water and sanitation,Rejected,2026-07-06,Synthetic demonstration record
REC-00645,MPLADS-SYN-0645,MP-228,2026-02-15,Drinking Water,620000,Local infrastructure need,Approved,2026-04-05,Synthetic demonstration record
REC-00646,MPLADS-SYN-0646,MP-931,2026-03-31,Library,1370000,Road connectivity,Under Review,2026-04-19,Synthetic demonstration record
REC-00647,MPLADS-SYN-0647,MP-899,2026-03-05,Drainage,1020000,Road connectivity,Under Review,2026-04-11,Synthetic demonstration record
REC-00648,MPLADS-SYN-0648,MP-866,2026-06-05,Sports Facility,860000,Public utility improvement,Approved,2026-07-13,Synthetic demonstration record
REC-00649,MPLADS-SYN-0649,MP-440,2026-03-24,Street Lighting,1450000,Road connectivity,Approved,2026-04-20,Synthetic demonstration record
REC-00650,MPLADS-SYN-0650,MP-824,2026-05-21,Drainage,610000,Local infrastructure need,Under Review,2026-07-14,Synthetic demonstration record
REC-00651,MPLADS-SYN-0651,MP-459,2026-01-06,Sports Facility,1250000,Road connectivity,Approved,2026-02-27,Synthetic demonstration record
REC-00652,MPLADS-SYN-0652,MP-313,2026-03-31,School Building,1970000,Road connectivity,Approved,2026-05-30,Synthetic demonstration record
REC-00653,MPLADS-SYN-0653,MP-126,2026-01-09,Community Hall,1070000,Community facility,Rejected,2026-02-24,Synthetic demonstration record
REC-00654,MPLADS-SYN-0654,MP-450,2025-12-17,Library,1790000,Local infrastructure need,Approved,2026-01-28,Synthetic demonstration record
REC-00655,MPLADS-SYN-0655,MP-511,2026-01-21,Sports Facility,2370000,Road connectivity,Approved,2026-02-26,Synthetic demonstration record
REC-00656,MPLADS-SYN-0656,MP-357,2026-07-22,Drinking Water,1620000,Local infrastructure need,Rejected,2026-08-21,Synthetic demonstration record
REC-00657,MPLADS-SYN-0657,MP-245,2026-02-06,Sports Facility,750000,Public utility improvement,Approved,2026-03-09,Synthetic demonstration record
REC-00658,MPLADS-SYN-0658,MP-529,2026-04-21,Sports Facility,830000,Water and sanitation,Rejected,2026-05-08,Synthetic demonstration record
REC-00659,MPLADS-SYN-0659,MP-303,2026-03-24,School Building,4650000,Public utility improvement,Approved,2026-05-18,Synthetic demonstration record
REC-00660,MPLADS-SYN-0660,MP-214,2025-09-26,School Building,3070000,Public utility improvement,Approved,2025-11-08,Synthetic demonstration record
REC-00661,MPLADS-SYN-0661,MP-911,2026-02-03,Road,1360000,Community facility,Approved,2026-03-12,Synthetic demonstration record
REC-00662,MPLADS-SYN-0662,MP-790,2025-11-29,Drainage,1210000,Water and sanitation,Under Review,2025-12-22,Synthetic demonstration record
REC-00663,MPLADS-SYN-0663,MP-172,2026-04-05,Drinking Water,550000,Public utility improvement,Rejected,2026-05-10,Synthetic demonstration record
REC-00664,MPLADS-SYN-0664,MP-533,2025-10-07,Solar Lighting,710000,Public utility improvement,Rejected,2025-11-04,Synthetic demonstration record
REC-00665,MPLADS-SYN-0665,MP-189,2026-05-07,Library,630000,Road connectivity,Approved,2026-06-06,Synthetic demonstration record
REC-00666,MPLADS-SYN-0666,MP-116,2026-03-12,Drinking Water,1320000,Community facility,Rejected,2026-04-06,Synthetic demonstration record
REC-00667,MPLADS-SYN-0667,MP-155,2026-03-20,Road,2880000,Water and sanitation,Under Review,2026-05-11,Synthetic demonstration record
REC-00668,MPLADS-SYN-0668,MP-789,2025-11-18,Road,680000,Local infrastructure need,Approved,2025-12-18,Synthetic demonstration record
REC-00669,MPLADS-SYN-0669,MP-197,2026-04-07,Community Hall,3460000,Community facility,Approved,2026-05-07,Synthetic demonstration record
REC-00670,MPLADS-SYN-0670,MP-527,2025-12-18,Drinking Water,1300000,Road connectivity,Under Review,2026-02-16,Synthetic demonstration record
REC-00671,MPLADS-SYN-0671,MP-793,2025-12-04,Library,1490000,Local infrastructure need,Approved,2025-12-27,Synthetic demonstration record
REC-00672,MPLADS-SYN-0672,MP-612,2026-03-13,Road,1340000,Public utility improvement,Under Review,2026-04-01,Synthetic demonstration record
REC-00673,MPLADS-SYN-0673,MP-358,2025-09-07,Drainage,830000,Local infrastructure need,Approved,2025-10-20,Synthetic demonstration record
REC-00674,MPLADS-SYN-0674,MP-237,2026-01-01,Street Lighting,330000,Community facility,Under Review,2026-02-12,Synthetic demonstration record
REC-00675,MPLADS-SYN-0675,MP-534,2026-04-30,Sports Facility,2330000,Community facility,Rejected,2026-06-18,Synthetic demonstration record
REC-00676,MPLADS-SYN-0676,MP-756,2026-02-20,Drainage,700000,Public utility improvement,Approved,2026-03-11,Synthetic demonstration record
REC-00677,MPLADS-SYN-0677,MP-681,2026-03-17,Drinking Water,1050000,Community facility,Rejected,2026-04-01,Synthetic demonstration record
REC-00678,MPLADS-SYN-0678,MP-780,2026-01-27,Health Facility,1940000,Public utility improvement,Approved,2026-02-28,Synthetic demonstration record
REC-00679,MPLADS-SYN-0679,MP-759,2026-01-12,Health Facility,3890000,Road connectivity,Rejected,2026-02-12,Synthetic demonstration record
REC-00680,MPLADS-SYN-0680,MP-841,2026-05-22,Drainage,2370000,Public utility improvement,Under Review,2026-06-25,Synthetic demonstration record
REC-00681,MPLADS-SYN-0681,MP-206,2026-02-20,Street Lighting,490000,Local infrastructure need,Rejected,2026-03-30,Synthetic demonstration record
REC-00682,MPLADS-SYN-0682,MP-991,2026-07-04,Street Lighting,1220000,Local infrastructure need,Approved,2026-08-06,Synthetic demonstration record
REC-00683,MPLADS-SYN-0683,MP-101,2026-05-15,Community Hall,1930000,Local infrastructure need,Approved,2026-07-09,Synthetic demonstration record
REC-00684,MPLADS-SYN-0684,MP-213,2025-12-06,Solar Lighting,1120000,Public utility improvement,Approved,2026-01-05,Synthetic demonstration record
REC-00685,MPLADS-SYN-0685,MP-475,2026-06-12,Community Hall,2350000,Road connectivity,Rejected,2026-08-02,Synthetic demonstration record
REC-00686,MPLADS-SYN-0686,MP-236,2026-04-09,Solar Lighting,410000,Local infrastructure need,Rejected,2026-05-03,Synthetic demonstration record
REC-00687,MPLADS-SYN-0687,MP-797,2026-02-17,School Building,2320000,Public utility improvement,Approved,2026-04-11,Synthetic demonstration record
REC-00688,MPLADS-SYN-0688,MP-533,2026-01-28,Street Lighting,1410000,Water and sanitation,Approved,2026-03-26,Synthetic demonstration record
REC-00689,MPLADS-SYN-0689,MP-600,2026-04-28,Health Facility,3690000,Water and sanitation,Approved,2026-06-27,Synthetic demonstration record
REC-00690,MPLADS-SYN-0690,MP-919,2026-02-27,Drinking Water,870000,Community facility,Rejected,2026-04-28,Synthetic demonstration record
REC-00691,MPLADS-SYN-0691,MP-969,2026-01-14,School Building,3900000,Water and sanitation,Rejected,2026-02-25,Synthetic demonstration record
REC-00692,MPLADS-SYN-0692,MP-853,2026-04-18,Street Lighting,570000,Water and sanitation,Under Review,2026-05-07,Synthetic demonstration record
REC-00693,MPLADS-SYN-0693,MP-612,2026-04-17,Road,2200000,Water and sanitation,Rejected,2026-06-13,Synthetic demonstration record
REC-00694,MPLADS-SYN-0694,MP-231,2026-03-06,Street Lighting,1110000,Public utility improvement,Approved,2026-04-24,Synthetic demonstration record
REC-00695,MPLADS-SYN-0695,MP-328,2025-12-26,Drainage,1470000,Community facility,Rejected,2026-02-20,Synthetic demonstration record
REC-00696,MPLADS-SYN-0696,MP-919,2026-04-24,Solar Lighting,1680000,Public utility improvement,Approved,2026-05-26,Synthetic demonstration record
REC-00697,MPLADS-SYN-0697,MP-587,2026-01-08,Sports Facility,1880000,Public utility improvement,Approved,2026-02-09,Synthetic demonstration record
REC-00698,MPLADS-SYN-0698,MP-219,2025-12-21,Sports Facility,2300000,Community facility,Under Review,2026-01-25,Synthetic demonstration record
REC-00699,MPLADS-SYN-0699,MP-857,2026-05-09,Road,2230000,Community facility,Rejected,2026-06-25,Synthetic demonstration record
REC-00700,MPLADS-SYN-0700,MP-760,2025-12-02,Sports Facility,1870000,Water and sanitation,Approved,2026-01-03,Synthetic demonstration record
REC-00701,MPLADS-SYN-0701,MP-651,2026-06-26,Road,1040000,Community facility,Approved,2026-08-11,Synthetic demonstration record
REC-00702,MPLADS-SYN-0702,MP-773,2025-09-21,Drinking Water,530000,Water and sanitation,Under Review,2025-11-18,Synthetic demonstration record
REC-00703,MPLADS-SYN-0703,MP-353,2025-12-30,Road,1630000,Local infrastructure need,Under Review,2026-02-14,Synthetic demonstration record
REC-00704,MPLADS-SYN-0704,MP-622,2026-05-12,Solar Lighting,1750000,Road connectivity,Approved,2026-07-02,Synthetic demonstration record
REC-00705,MPLADS-SYN-0705,MP-885,2026-01-04,Road,1420000,Community facility,Under Review,2026-02-03,Synthetic demonstration record
REC-00706,MPLADS-SYN-0706,MP-500,2025-10-13,Road,500000,Public utility improvement,Approved,2025-11-20,Synthetic demonstration record
REC-00707,MPLADS-SYN-0707,MP-947,2026-01-28,Community Hall,1820000,Road connectivity,Approved,2026-02-27,Synthetic demonstration record
REC-00708,MPLADS-SYN-0708,MP-287,2025-12-31,School Building,4560000,Water and sanitation,Approved,2026-02-27,Synthetic demonstration record
REC-00709,MPLADS-SYN-0709,MP-423,2026-01-27,Community Hall,3920000,Road connectivity,Approved,2026-03-09,Synthetic demonstration record
REC-00710,MPLADS-SYN-0710,MP-628,2026-01-24,Library,710000,Road connectivity,Rejected,2026-03-09,Synthetic demonstration record
REC-00711,MPLADS-SYN-0711,MP-243,2026-02-04,Sports Facility,1050000,Local infrastructure need,Rejected,2026-03-31,Synthetic demonstration record
REC-00712,MPLADS-SYN-0712,MP-886,2026-01-12,Road,1660000,Road connectivity,Approved,2026-02-25,Synthetic demonstration record
REC-00713,MPLADS-SYN-0713,MP-772,2025-12-13,Community Hall,2010000,Road connectivity,Approved,2025-12-31,Synthetic demonstration record
REC-00714,MPLADS-SYN-0714,MP-454,2026-01-12,Drinking Water,300000,Road connectivity,Under Review,2026-02-17,Synthetic demonstration record
REC-00715,MPLADS-SYN-0715,MP-789,2026-04-09,Drainage,820000,Road connectivity,Under Review,2026-05-12,Synthetic demonstration record
REC-00716,MPLADS-SYN-0716,MP-560,2026-07-06,Road,1030000,Community facility,Rejected,2026-08-19,Synthetic demonstration record
REC-00717,MPLADS-SYN-0717,MP-815,2026-02-25,Sports Facility,840000,Community facility,Approved,2026-04-22,Synthetic demonstration record
REC-00718,MPLADS-SYN-0718,MP-918,2026-01-08,Library,1000000,Local infrastructure need,Approved,2026-01-25,Synthetic demonstration record
REC-00719,MPLADS-SYN-0719,MP-898,2026-02-11,Drainage,1600000,Public utility improvement,Approved,2026-03-15,Synthetic demonstration record
REC-00720,MPLADS-SYN-0720,MP-887,2026-04-05,School Building,2930000,Community facility,Under Review,2026-05-21,Synthetic demonstration record
REC-00721,MPLADS-SYN-0721,MP-227,2026-02-12,Drinking Water,530000,Public utility improvement,Under Review,2026-03-24,Synthetic demonstration record
REC-00722,MPLADS-SYN-0722,MP-804,2026-03-10,Community Hall,1350000,Water and sanitation,Under Review,2026-05-06,Synthetic demonstration record
REC-00723,MPLADS-SYN-0723,MP-650,2026-02-04,Library,1560000,Local infrastructure need,Under Review,2026-02-25,Synthetic demonstration record
REC-00724,MPLADS-SYN-0724,MP-810,2026-01-10,Library,370000,Road connectivity,Rejected,2026-02-20,Synthetic demonstration record
REC-00725,MPLADS-SYN-0725,MP-183,2025-12-04,Health Facility,1030000,Community facility,Rejected,2026-01-04,Synthetic demonstration record
REC-00726,MPLADS-SYN-0726,MP-252,2026-05-20,Health Facility,880000,Water and sanitation,Approved,2026-06-22,Synthetic demonstration record
REC-00727,MPLADS-SYN-0727,MP-943,2026-01-04,Community Hall,3480000,Water and sanitation,Approved,2026-03-04,Synthetic demonstration record
REC-00728,MPLADS-SYN-0728,MP-676,2025-11-01,Street Lighting,420000,Community facility,Rejected,2025-12-16,Synthetic demonstration record
REC-00729,MPLADS-SYN-0729,MP-217,2026-04-04,Health Facility,3150000,Local infrastructure need,Approved,2026-05-21,Synthetic demonstration record
REC-00730,MPLADS-SYN-0730,MP-577,2026-05-25,Solar Lighting,1440000,Local infrastructure need,Approved,2026-06-24,Synthetic demonstration record
REC-00731,MPLADS-SYN-0731,MP-434,2026-01-05,Solar Lighting,1380000,Water and sanitation,Approved,2026-03-05,Synthetic demonstration record
REC-00732,MPLADS-SYN-0732,MP-775,2026-05-02,Street Lighting,860000,Road connectivity,Approved,2026-05-18,Synthetic demonstration record
REC-00733,MPLADS-SYN-0733,MP-350,2026-03-13,Library,620000,Public utility improvement,Under Review,2026-04-21,Synthetic demonstration record
REC-00734,MPLADS-SYN-0734,MP-533,2026-04-27,Library,1400000,Community facility,Rejected,2026-06-23,Synthetic demonstration record
REC-00735,MPLADS-SYN-0735,MP-715,2026-03-09,Community Hall,2270000,Local infrastructure need,Approved,2026-05-03,Synthetic demonstration record
REC-00736,MPLADS-SYN-0736,MP-367,2026-04-03,Health Facility,4090000,Public utility improvement,Approved,2026-05-17,Synthetic demonstration record
REC-00737,MPLADS-SYN-0737,MP-739,2025-12-15,Sports Facility,360000,Community facility,Approved,2026-01-15,Synthetic demonstration record
REC-00738,MPLADS-SYN-0738,MP-961,2025-12-23,Library,1530000,Community facility,Approved,2026-01-25,Synthetic demonstration record
REC-00739,MPLADS-SYN-0739,MP-122,2025-12-16,Community Hall,1830000,Road connectivity,Approved,2026-01-06,Synthetic demonstration record
REC-00740,MPLADS-SYN-0740,MP-296,2026-03-21,Road,1220000,Local infrastructure need,Approved,2026-05-07,Synthetic demonstration record
REC-00741,MPLADS-SYN-0741,MP-886,2026-03-27,Drinking Water,1840000,Road connectivity,Approved,2026-04-19,Synthetic demonstration record
REC-00742,MPLADS-SYN-0742,MP-185,2025-12-13,Sports Facility,1960000,Road connectivity,Under Review,2026-02-10,Synthetic demonstration record
REC-00743,MPLADS-SYN-0743,MP-935,2026-02-14,School Building,2530000,Road connectivity,Approved,2026-04-02,Synthetic demonstration record
REC-00744,MPLADS-SYN-0744,MP-270,2026-01-24,Drinking Water,360000,Water and sanitation,Under Review,2026-03-18,Synthetic demonstration record
REC-00745,MPLADS-SYN-0745,MP-936,2026-02-24,Street Lighting,410000,Water and sanitation,Approved,2026-03-12,Synthetic demonstration record
REC-00746,MPLADS-SYN-0746,MP-377,2025-11-18,Road,920000,Public utility improvement,Rejected,2025-12-20,Synthetic demonstration record
REC-00747,MPLADS-SYN-0747,MP-846,2026-03-25,Drinking Water,1020000,Public utility improvement,Under Review,2026-05-03,Synthetic demonstration record
REC-00748,MPLADS-SYN-0748,MP-580,2025-12-06,Solar Lighting,1250000,Road connectivity,Approved,2026-02-03,Synthetic demonstration record
REC-00749,MPLADS-SYN-0749,MP-315,2025-12-26,Street Lighting,700000,Water and sanitation,Approved,2026-01-30,Synthetic demonstration record
REC-00750,MPLADS-SYN-0750,MP-996,2026-02-23,Library,800000,Public utility improvement,Approved,2026-03-17,Synthetic demonstration record
REC-00751,MPLADS-SYN-0751,MP-941,2026-03-31,Sports Facility,550000,Road connectivity,Under Review,2026-04-21,Synthetic demonstration record
REC-00752,MPLADS-SYN-0752,MP-168,2025-12-26,Sports Facility,2190000,Local infrastructure need,Approved,2026-02-19,Synthetic demonstration record
REC-00753,MPLADS-SYN-0753,MP-128,2026-05-06,Health Facility,3450000,Water and sanitation,Approved,2026-06-21,Synthetic demonstration record
REC-00754,MPLADS-SYN-0754,MP-353,2026-03-23,Health Facility,3000000,Water and sanitation,Approved,2026-04-10,Synthetic demonstration record
REC-00755,MPLADS-SYN-0755,MP-469,2026-01-02,School Building,3170000,Public utility improvement,Approved,2026-01-21,Synthetic demonstration record
REC-00756,MPLADS-SYN-0756,MP-416,2026-02-17,Road,2790000,Road connectivity,Approved,2026-04-14,Synthetic demonstration record
REC-00757,MPLADS-SYN-0757,MP-902,2026-02-21,Street Lighting,650000,Water and sanitation,Approved,2026-03-31,Synthetic demonstration record
REC-00758,MPLADS-SYN-0758,MP-673,2025-11-26,Community Hall,1630000,Road connectivity,Approved,2025-12-31,Synthetic demonstration record
REC-00759,MPLADS-SYN-0759,MP-222,2026-06-02,Solar Lighting,800000,Local infrastructure need,Rejected,2026-06-23,Synthetic demonstration record
REC-00760,MPLADS-SYN-0760,MP-420,2026-04-24,Sports Facility,710000,Community facility,Under Review,2026-05-26,Synthetic demonstration record
REC-00761,MPLADS-SYN-0761,MP-523,2026-04-18,Drinking Water,1120000,Local infrastructure need,Under Review,2026-05-24,Synthetic demonstration record
REC-00762,MPLADS-SYN-0762,MP-314,2026-01-24,Community Hall,1730000,Water and sanitation,Under Review,2026-03-14,Synthetic demonstration record
REC-00763,MPLADS-SYN-0763,MP-511,2026-05-30,Library,1380000,Community facility,Approved,2026-07-25,Synthetic demonstration record
REC-00764,MPLADS-SYN-0764,MP-477,2025-09-21,Sports Facility,850000,Local infrastructure need,Approved,2025-10-23,Synthetic demonstration record
REC-00765,MPLADS-SYN-0765,MP-694,2025-11-08,Solar Lighting,1180000,Road connectivity,Approved,2025-12-04,Synthetic demonstration record
REC-00766,MPLADS-SYN-0766,MP-236,2026-01-17,Health Facility,4200000,Public utility improvement,Under Review,2026-03-08,Synthetic demonstration record
REC-00767,MPLADS-SYN-0767,MP-707,2025-11-04,Library,1420000,Public utility improvement,Under Review,2025-12-21,Synthetic demonstration record
REC-00768,MPLADS-SYN-0768,MP-810,2026-04-26,Street Lighting,840000,Public utility improvement,Under Review,2026-06-21,Synthetic demonstration record
REC-00769,MPLADS-SYN-0769,MP-620,2026-03-23,Drainage,1180000,Community facility,Approved,2026-04-28,Synthetic demonstration record
REC-00770,MPLADS-SYN-0770,MP-925,2026-06-20,Drainage,750000,Water and sanitation,Under Review,2026-07-07,Synthetic demonstration record
REC-00771,MPLADS-SYN-0771,MP-833,2026-03-03,Drainage,500000,Community facility,Approved,2026-04-24,Synthetic demonstration record
REC-00772,MPLADS-SYN-0772,MP-745,2026-01-05,Community Hall,1010000,Water and sanitation,Approved,2026-02-12,Synthetic demonstration record
REC-00773,MPLADS-SYN-0773,MP-907,2025-12-31,Drainage,1670000,Road connectivity,Approved,2026-02-06,Synthetic demonstration record
REC-00774,MPLADS-SYN-0774,MP-387,2025-11-18,Solar Lighting,1310000,Water and sanitation,Rejected,2026-01-03,Synthetic demonstration record
REC-00775,MPLADS-SYN-0775,MP-359,2026-04-14,Community Hall,3090000,Road connectivity,Under Review,2026-06-04,Synthetic demonstration record
REC-00776,MPLADS-SYN-0776,MP-370,2026-04-29,Library,1060000,Community facility,Approved,2026-05-16,Synthetic demonstration record
REC-00777,MPLADS-SYN-0777,MP-537,2026-04-08,Street Lighting,300000,Road connectivity,Approved,2026-04-26,Synthetic demonstration record
REC-00778,MPLADS-SYN-0778,MP-108,2025-11-08,Community Hall,2000000,Water and sanitation,Approved,2025-12-17,Synthetic demonstration record
REC-00779,MPLADS-SYN-0779,MP-659,2025-11-15,School Building,4210000,Water and sanitation,Approved,2026-01-11,Synthetic demonstration record
REC-00780,MPLADS-SYN-0780,MP-472,2026-01-11,Road,1300000,Road connectivity,Approved,2026-02-26,Synthetic demonstration record
REC-00781,MPLADS-SYN-0781,MP-707,2025-11-04,Street Lighting,740000,Public utility improvement,Under Review,2025-12-30,Synthetic demonstration record
REC-00782,MPLADS-SYN-0782,MP-768,2026-03-02,Road,2370000,Water and sanitation,Approved,2026-04-23,Synthetic demonstration record
REC-00783,MPLADS-SYN-0783,MP-243,2026-03-09,School Building,1780000,Local infrastructure need,Approved,2026-04-09,Synthetic demonstration record
REC-00784,MPLADS-SYN-0784,MP-579,2026-04-22,Health Facility,3480000,Public utility improvement,Under Review,2026-05-23,Synthetic demonstration record
REC-00785,MPLADS-SYN-0785,MP-848,2026-01-30,School Building,1170000,Public utility improvement,Rejected,2026-02-16,Synthetic demonstration record
REC-00786,MPLADS-SYN-0786,MP-873,2026-05-08,Library,1240000,Water and sanitation,Approved,2026-06-28,Synthetic demonstration record
REC-00787,MPLADS-SYN-0787,MP-974,2026-03-23,Street Lighting,670000,Public utility improvement,Approved,2026-05-17,Synthetic demonstration record
REC-00788,MPLADS-SYN-0788,MP-579,2025-12-30,Community Hall,2970000,Local infrastructure need,Rejected,2026-02-19,Synthetic demonstration record
REC-00789,MPLADS-SYN-0789,MP-506,2026-07-02,Sports Facility,1300000,Public utility improvement,Under Review,2026-08-28,Synthetic demonstration record
REC-00790,MPLADS-SYN-0790,MP-823,2026-03-19,Road,2350000,Water and sanitation,Under Review,2026-04-15,Synthetic demonstration record
